year,rank,artist,song,lyrics
1950,1,"Fats Domino","The Fat Man","They call, they call me the fat man|'Cause I weight two hundred pounds|All the girls, they love me|'Cause I know my way around|I was standin', I was standin' on the corner|Of Rampart and Canal|I was watchin', watchin'|Watchin' all these creole gals|Wah wah wah, wah wah|Wah wah waah, wah wah wah|Wah wah waah, wah wah wah|Wah wah wah|Wah waaa-ah wah|Wah wah wah, wah wah wah|Wah wah wah, wah wah wah|Wah wah wah|I'm goin', I'm goin' goin' away|And I'm goin', goin' to stay|'Cause women and a bad life|They're carrying this soul awayYou might also like"
1950,2,"Percy Mayfield","Please Send Me Someone To Love","Understanding and peace of mind|But, if it's not asking too much|Please send me someone to love|Show all the world how to get along|Peace will enter when hate is gone|But, if it's not asking too much|Please send me someone to love|I lay awake night and ponder world troubles|My answer is always the same|That unless men put an end to all of this|Hate will put the world in a flame, (oh) what a shame|Just because I'm in misery|I'm not begging for no sympathy|But if it's not asking too much|Just send me someone to love|Heaven please send to all mankind|Understanding and peace of mind|But if it's not asking too much|Please send me someone to love|Learn to love me or leave me, either one you wanna do|Learn to love me or leave me, either one you wanna do|Because strange things are happenin'|Babe, an' somethin' might happen to you|You might also likeIf you know you don't love me, why don't you let me be?|If you know you don't love me, why don't you let me be?|Because it's better to be without you, then to live on in misery|Hey!|Midnight find me cryin', daylight find me cryin', too|Midnight find me cryin', daylight find me cryin', too|You better change your ways pretty baby|Or somethin' might happen to you"
1950,3,"Ruth Brown","Teardrops From My Eyes","I think of you|And that's the time|I feel so blue|When the rain starts to falling|My love comes tumbling down|And it's raining teardrops from my eyes|Well if you see clouds|Here in my eyes|It's just because|You said goodbye|Although the sun is shining|Theres no summer skies|Still it's raining teardrops from my eyes|Remember the night you told me|Our love would always be|I wouldn't be blue and lonely|Well if you'd come back to me|Every single cloud|Would disappear|I'd wear a smile|If you were here|You might also likeSo baby won't you hurry|Because I need you so|And it's raining teardrops|From my eyes|Remember the night you told me|Our love would always be|I wouldn't be blue and lonely|Well if you'd come back to me|Every single cloud|Would disappear|I'd wear a smile|If you were here|So baby won't you hurry|Cause I miss you so|And it's raining teardrops from my eyes"
1950,4,"Nat King Cole","Mona Lisa","Mona Lisa, Mona Lisa, men have named you|You're so like the lady with the mystic smile|Is it only 'cause you're lonely they have blamed you?|For that Mona Lisa strangeness in your smile?|Do you smile to tempt a lover, Mona Lisa?|Or is this your way to hide a broken heart?|Many dreams have been brought to your doorstep|They just lie there, and they die there|Are you warm? Are you real, Mona Lisa?|Or just a cold and lonely, lovely work of art?|Do you smile to tempt a lover, Mona Lisa?|Or is this your way to hide a broken heart?|Many dreams have been brought to your doorstep|They just lie there, and they die there|Are you warm? Are you real, Mona Lisa?|Or just a cold and lonely, lovely work of art?|Mona Lisa|Mona LisaYou might also like1"
1950,5,"Patti Page","Tennessee Waltz","When an old friend I happened to see|I Introduced her to my loved one and while they were dancing|My friend stole my sweetheart from me|I remember the night and the Tennessee Waltz|Now I know just how much I have lost|Yes, I lost my little darling on the night they were playing|The beautiful Tennessee Waltz|I was dancing with my darling to the Tennessee Waltz|When an old friend I happened to see|I Introduced her to my loved one and while they were dancing|My friend stole my sweetheart from me|I remember the night and the Tennessee Waltz|Now I know just how much I have lost|Yes, I lost my little darling on the night they were playing|The beautiful Tennessee WaltzYou might also like"
1950,6,"Hank Williams","Long Gone Lonesome Blues","But I got to the river so lonesome I wanted to die, oh Lord|And then I jumped in the river, but the doggone river was dry|She's long gone, and now I'm lonesome blue|I had me a woman who couldn't be true|She made me for my money and she made me blue|A man needs a woman that he can lean on|But my leanin' post is done left and gone|She's long gone, and now I'm lonesome blue|I'm gonna find me a river, one that's cold as ice|And when I find me that river, Lord I'm gonna pay the price, oh Lord|I'm goin' down in it three times, but Lord I'm only comin' up twice|She's long gone, and now I'm lonesome blue|She told me on Sunday she was checkin' me out|Long about Monday she was nowhere about|And here it is Tuesday, ain't had no news|I got them gone but not forgotten blues|She's long gone, and now I'm lonesome blueYou might also like1"
1950,7,"Professor Longhair","Mardi Gras In New Orleans","I wanna see the Mardi Gras|Yes, I'm goin' to New Orleans|I wanna see the Mardi Gras|When I see the Mardi Gras|I wanna know what's carnival for|Goin' down to New Orleans|I've got my ticket in my hand|Goin' down to New Orleans|I've got my ticket in my hand|When I get to New Orleans|I wanna see the Zulu King|Way down in New Orleans|Down on Rampart and Dumaine|Yes, down in New Orleans|On Rampart and Dumaine|Gonna make it my standin' place|Until I see the Zulu QueenYou might also like"
1950,8,"Hank Snow","I'm Movin' On","That big eight wheeler a rollin' down the track|Means your true lovin' daddy ain't comin' back|'Cause I'm movin' on, I'll soon be gone|You were flyin' too high for my little old sky|So I'm movin' on|That big loud whistle as it blew and blew|Said hello to the Southland, we're comin' to you|And we're movin' on, oh hear my song|You had the laugh on me, so I've set you free|And I'm movin' on|Mister Fireman, won't you please listen to me|'Cause I got a pretty mama in Tennessee|Keep movin' me on, keep rollin' on|So shovel the coal, let this rattler roll|And keep movin' me on|Mister Engineer, take that throttle in hand|This rattler's the fastest in the southern land|To keep movin' me on, keep rollin' on|You're gonna ease my mind, put me there on time|And keep rollin' on|I've told you baby from time to time|But you just wouldn't listen or pay me no mind|Now I'm movin' on, I'm rollin' on|You've broken your vow and it's all over now|So I'm movin' on|You switched your engine, now I ain't got time|For a triflin' woman on my main line|'Cause I'm movin' on, you done your daddy wrong|I've warned you twice, now you can settle the price|Cause I'm movin' on|But someday baby when you've had your play|You're gonna want your daddy but your daddy will say|Keep movin' on, you stayed away too long|I'm through with you, too bad you're blue|Keep movin' on3"
1950,9,"Muddy Waters","Rollin' Stone","Well, I wish I was a catfish|Swimming in a oh, deep, blue sea|I would have all you good looking women|Fishing, fishing after me|Sure enough, a-after me|Sure enough, a-after me|Oh enough, oh enough, sure enough|I went to my baby's house|And I sit down oh, on her steps|She said, Come on in now, Muddy|You know my husband just now left|Sure enough, he just now left|Sure enough, he just now left|Oh enough, oh well, oh well|Well, my mother told my father|Just before hmmm, I was born|I got a boy child's comin'|Gonna be, he's going to be a rolling stone|Sure enough, he's a rolling stone|Sure enough, he's a rolling stone|Oh well he's a, oh well he's a, oh well he's a|Well, I feel, yes I feel|Feel that I could lay down oh, time isn't long|I'm gonna catch the first thing smoking|Back, back down the road, I'm going|Back down the road, I'm going|Back down the road, I'm going|Sure enough back, sure enough back1"
